date,rainfall_sapporo,sunlight_sapporo,snowfall_sapporo,avewind_sapporo,rainfall_tokyo,sunlight_tokyo,snowfall_tokyo,avewind_tokyo
2019年4月9日,0,6.8,--,5.5,--,11.9,--,3.8
2019年4月10日,--,10.5,--,2.6,29.5,0,--,2.8
2019年4月11日,0,8.1,--,2.1,1.5,8.8,--,4.8
2019年4月12日,--,8.7,--,2,0,1.5,--,2.3
2019年4月13日,--,12.5,--,2.2,--,11.7,--,3.2
2019年4月14日,--,8,--,4.2,0,3.5,--,3.6
2019年4月15日,17.5,0.5,--,4.5,5,9.5,--,4
2019年4月16日,--,12.5,--,4.2,--,12.2,--,4.2
2019年4月17日,--,12.2,--,3,--,0.3,--,2.6
2019年4月18日,0,9.1,--,4.1,--,8.7,--,3
2019年4月19日,1.5,7.2,--,4.7,0,9.2,--,2.9
2019年4月20日,--,11.4,--,3.3,--,11.3,--,3.7
2019年4月21日,--,11.2,--,2.1,--,7.9,--,2.3
2019年4月22日,0,12.4,--,2.8,0,8.9,--,2.6
2019年4月23日,0,2.4,--,4.5,0,7.3,--,3.3
2019年4月24日,0,6.2,--,4.1,3,0,--,4.5
2019年4月25日,0.5,6.3,--,7.1,4,2.3,--,2.8
2019年4月26日,2.5,0,--,2.7,4.5,0,--,3.3
2019年4月27日,1,0.1,--,2.3,6.5,0.3,--,3.3
2019年4月28日,--,11.9,--,1.8,--,9,--,3.9
2019年4月29日,--,13.2,--,1.9,0,2,--,3.1
2019年4月30日,0.5,9,--,4.9,20,0,--,3.1
2019年5月1日,0.5,1.8,--,2.7,26,2.3,--,2.3
2019年5月2日,2.5,1.5,--,2.5,3.5,6.3,--,1.9
2019年5月3日,0.5,6.5,--,3.3,--,10.4,--,2.3
2019年5月4日,--,13.4,--,1.5,0,5.3,--,2.5
2019年5月5日,--,13.4,--,2.1,--,12.5,--,3
2019年5月6日,8,4.7,--,4.9,0,1.2,--,4.5
2019年5月7日,12.5,6.5,--,3.4,0,4.8,--,3.3
2019年5月8日,3,4,--,2.7,--,12.5,--,4.2
2019年5月9日,--,12.5,--,3.9,--,3,--,3.7
2019年5月10日,0,1.2,--,4.3,--,10.2,--,2.6
2019年5月11日,0,10.4,--,5.4,--,10.7,--,2.7
2019年5月12日,--,11.9,--,4,--,6.6,--,3.1
2019年5月13日,--,13.5,--,2,0,3.9,--,3.1
2019年5月14日,--,13.4,--,3.7,0.5,0,--,3.6
2019年5月15日,0,0.6,--,2.6,0,7.4,--,3.6
2019年5月16日,--,12.7,--,3,0,8.5,--,2.7
2019年5月17日,--,13.2,--,6.6,--,11.3,--,3
2019年5月18日,--,12.6,--,5.9,0,8,--,3.5
