x,color,date
117,black,2020/10/28
125,black,2020/10/29
137,black,2020/10/30
143,blue,2020/10/31
123,red,2020/11/1
74,black,2020/11/2
156,black,2020/11/3
85,black,2020/11/4
125,black,2020/11/5
169,black,2020/11/6
191,blue,2020/11/7
140,red,2020/11/8
78,black,2020/11/9
226,black,2020/11/10
256,black,2020/11/11
231,black,2020/11/12
263,black,2020/11/13
285,blue,2020/11/14
266,red,2020/11/15
73,black,2020/11/16
271,black,2020/11/17
273,black,2020/11/18
339,black,2020/11/19
370,black,2020/11/20
416,blue,2020/11/21
485,red,2020/11/22
281,black,2020/11/23
209,black,2020/11/24
319,black,2020/11/25
326,black,2020/11/26
383,black,2020/11/27
462,blue,2020/11/28
381,red,2020/11/29
261,black,2020/11/30
325,black,2020/12/1
427,black,2020/12/2
389,black,2020/12/3
394,black,2020/12/4
403,blue,2020/12/5
322,red,2020/12/6
237,black,2020/12/7
259,black,2020/12/8
427,black,2020/12/9
418,black,2020/12/10
357,black,2020/12/11
429,blue,2020/12/12
308,red,2020/12/13
185,black,2020/12/14
306,black,2020/12/15
396,black,2020/12/16
351,black,2020/12/17
309,black,2020/12/18
311,blue,2020/12/19
251,red,2020/12/20
180,black,2020/12/21
283,black,2020/12/22
312,black,2020/12/23
289,black,2020/12/24
294,black,2020/12/25
299,blue,2020/12/26
233,red,2020/12/27
150,black,2020/12/28
302,black,2020/12/29
307,black,2020/12/30
313,black,2020/12/31
262,black,2021/1/1
258,blue,2021/1/2
252,red,2021/1/3
286,black,2021/1/4
394,black,2021/1/5
560,black,2021/1/6
607,black,2021/1/7
654,black,2021/1/8
647,blue,2021/1/9
532,red,2021/1/10
479,black,2021/1/11
374,black,2021/1/12
536,black,2021/1/13
592,black,2021/1/14
568,black,2021/1/15
629,blue,2021/1/16
464,red,2021/1/17
431,black,2021/1/18
525,black,2021/1/19
507,black,2021/1/20
501,black,2021/1/21
450,black,2021/1/22
525,blue,2021/1/23
421,red,2021/1/24
273,black,2021/1/25
343,black,2021/1/26
357,black,2021/1/27
397,black,2021/1/28
345,black,2021/1/29
